ID,Mass,RT,Col-root-NL-0V,Col-root-NL-5V,Col-root-NL-10V,Col-root-NL-15V,Col-root-NL-20V,Col-root-NL-25V,Col-root-NL-30V,Col-root-NL-35V,Col-root-NL-40V,Col-root-NL-45V
4330,503.3367,13.5,1,10557.78602,33527.27293,106147.5668,128894.066,126395.7551,74617.40881,32697.97138,12542.20394,4996.657799
4331,296.0753,16.82,34430.98646,55980.17182,69017.71861,49764.10501,56527.62671,39137.19828,23017.37761,14910.0589,18425.19167,17248.33639
4332,618.1935,6.78,75601.3623,92350.28046,106552.8991,101891.8099,61110.8679,43441.93858,26993.62923,5940.199807,7728.168473,1356.296318
4333,280.0975,3.33,32204.39573,33177.60223,16636.07568,22981.97432,34293.11563,65569.66077,87450.86884,93986.84556,100060.3262,89930.98292
4334,400.3132,17.23,16770.44658,25675.36214,71648.57934,133730.2042,119804.8356,82477.57216,50884.46577,29591.32474,19538.43932,12333.37038
4335,124.0637,1.47,1,1,1,1,22894.12705,46332.99781,108101.0196,99854.45825,93958.05944,78609.15838
4336,376.1897,10.87,50830.32468,19391.2847,1973.196436,1,1,1,1,1,1,1
4337,203.1145,11.91,142924.2376,120042.0736,98856.68859,41526.63761,13455.30528,8006.384292,3460.519605,1,1,1
4338,307.125,1.24,44104.3318,36956.69206,17531.60467,18518.55553,11727.10368,8636.796927,6105.858864,5357.832902,7814.368241,4972.237811
4339,357.0376,2.36,95396.04375,102117.6686,40081.68342,18506.11338,13625.63241,6613.976344,865.8381063,1,1,1
4340,112.9564,21.38,1,1,39815.43523,139057.9721,134577.3935,120416.5713,77430.13088,50353.14746,30662.39807,18268.23607
4341,762.199,3.55,53163.94865,45676.2261,62316.57588,47065.6081,44179.14447,37817.88513,20014.28198,288275.8752,14709.1362,15518.09614
4342,130.0818,3.77,51360.6034,111630.611,83085.64508,25163.45068,6273.011353,8116.082442,11430.1178,14121.23776,11137.04769,10765.13789
4343,162.0479,1.43,74725.25105,1,71793.82316,53157.80168,36149.25046,20755.07354,26063.87477,36435.29986,1,1
4344,146.0606,3.74,18106.66288,12091.40145,22419.35465,37949.30385,55373.91745,80292.77064,50979.74447,85468.22306,85849.72429,78619.00325
4345,504.1631,7.02,61504.13102,86535.23,78748.06095,114232.4515,55987.53083,57623.87923,23014.78109,16291.13054,4420.398252,3796.88143
4346,613.4393,13.8,35535.2659,28151.09915,39233.38937,24282.8999,1237.11861,1,1,1,1,1
4347,519.0679,4.14,295019.5088,247569.858,139798.313,109384.8071,105323.4789,101083.1814,90410.1392,75729.85924,67562.41124,60927.78643
4348,278.0913,4.75,1028838.661,561106.817,161729.8176,107166.9287,98584.36816,107981.2993,100319.2052,78567.5627,56472.93486,23237.0218
