ID,Mass,RT,Col-root-NL-0V-3,Col-root-NL-10V,Col-root-NL-15V,Col-root-NL-20V,Col-root-NL-20V-2,Col-root-NL-25V,Col-root-NL-30V,Col-root-NL-35V,Col-root-NL-40V,Col-root-NL-45V,Col-root-NL-5V
4410,176.055,5.39,19554.89225,42074.99111,43362.76442,35584.03152,37970.00505,29003.24121,11695.38683,14749.56838,79002.48589,92048.43299,32206.52654
4411,394.2125,12.56,32913.36461,31690.7071,17910.18396,10451.03016,9046.777151,6844.682881,6447.927955,5376.288823,2771.170916,1,34882.67937
4412,531.2214,12.98,48038.10284,55853.46382,41546.96669,31345.80907,23269.28505,17270.18836,27247.11414,22991.66971,28307.83996,25789.74504,55851.45621
4413,291.9199,17.07,38085.70415,39464.94539,35461.52557,33615.17034,35668.86446,26405.07505,23665.39582,19082.70986,21762.38313,13879.81645,44302.53817
4414,412.1347,2.9,51557.85452,7861.824591,1867.788028,1,1,1,1,1,1,1,35408.88573
4415,535.1311,1.86,33358.0404,14304.73814,1,1,1,1,1,1,1,1,34565.52627
4416,191.0618,3.06,43557.83157,64183.11409,56758.87595,46481.14209,64118.60482,40651.14881,31481.87236,18525.08992,16310.37949,6628.314463,65358.99109
4417,213.0641,2.34,66208.01993,32750.09662,11642.65643,4995.43766,3723.383229,2309.927162,3316.774706,945.9178015,1,4431.113744,61008.91662
4418,203.0041,1.37,82477.83531,29624.3614,19119.40703,31908.74591,13125.94508,5416.866577,20632.41116,28488.64387,37162.73342,34358.53405,38573.12096
4419,527.1474,8.44,53977.88505,25872.29667,9632.865029,2565.548968,2549.980707,1,1,1,1,1,52069.5815
4420,364.9918,6.95,47804.05978,24497.60784,6732.207251,267.7637836,1,1,1,1,1,1,44449.39264
4421,300.2665,15.41,44242.09346,43320.114,35541.73451,15869.03804,17152.27196,12096.43063,2830.763664,4878.901975,3204.210216,1,49772.87627
