ID,Mass,RT,72e123-1,72e123-2,72e123-3,72e123-4,72e123-5,Col-1,Col-2,Col-3,Col-4,Col-5
4664,287.0795,5.97,31225.8158,19133.6387,23855.61761,28054.4231,29744.38044,35108.09774,40036.91902,37894.10662,34248.33369,28865.60413
4665,514.1481,4.36,38253.4663,47581.20906,49692.14651,52644.9645,54426.0897,19388.30492,18043.45631,19026.79156,18999.54272,24697.21728
4666,147.9128,12.52,1,1,909.3984992,2917.803798,630.9994869,2568.677183,1029.239544,2008.385208,2566.040457,4487.583754
4667,892.4812,14.53,1,1,1,199598.4618,1,1,1,70427.12095,1,1
4668,479.3368,12.3,51678.20643,21812.63593,19752.86959,39825.63803,35980.07647,35269.56535,52772.25755,11908.93182,11791.19156,35723.03382
4669,145.0534,9.6,20415.35361,77323.24878,33229.86184,38359.52918,58231.41667,31407.66635,7783.163168,41808.48973,30420.01172,66986.90466
4670,484.1361,5.17,52823.91247,1,14616.4735,53399.0985,43782.78917,1,1,41480.26638,1,1
4671,339.2526,4.91,1,1,1,1,1,1,1,1,1,1
4672,145.0893,6.55,15462.50188,22764.58476,16130.61238,25219.77626,21264.29521,17850.17786,13211.5984,23785.63254,19786.69199,20321.91544
4673,482.1331,5.48,51979.61371,55885.83075,49451.04722,84433.16564,71097.60251,60995.41395,52811.37702,79766.44862,59012.51801,75404.58546
4674,158.0217,4.76,22761.2699,38402.99433,27759.97675,58909.09023,56045.565,42930.25943,31642.49295,56023.49913,34140.442,48996.35691
4675,384.1965,17.07,28009.56199,42111.79942,57937.10379,34281.20838,31192.99348,62302.1207,1,55434.52092,67639.80303,57656.37689
4676,482.1788,2.89,5353.989638,487.4830634,3056.573918,4855.748647,1884.144654,55402.16657,54871.0722,66691.16578,39719.40526,52769.94609
4677,372.1205,5.46,23477.44779,27122.42899,24974.86137,24370.62767,25839.79794,18224.50748,14578.90969,23975.90531,18256.16961,22957.52324
4678,339.2525,3.7,6886.360068,9550.285286,12449.16941,26348.34435,12522.28841,37708.68703,10522.67551,3232.084913,3096.228749,4805.808272
4679,290.1062,9.06,1,1,1,1,1,1,2753.208309,1,1,1
4680,470.0838,3.4,1,1,1,1,1,1,1,1,1,1
4681,864.9472,12.67,67238.66432,43577.97287,40746.34352,114409.172,71390.1014,80059.31134,70608.5952,70427.38618,32524.7882,117191.0643
4682,532.2417,12.82,1,42526.6714,29185.34291,1,13426.43598,36615.59862,1,53002.17106,52448.11711,12256.79901
4683,246.0061,1.44,67887.87935,56446.18599,44273.32682,43433.17128,42193.73453,55712.17039,37495.46455,38364.07617,58684.22866,61201.0007
4684,858.3469,11.47,59103.25809,52699.22743,53049.63871,55139.43225,52922.42294,63510.05242,50281.42134,58607.32243,59676.57647,79681.10036
4685,190.0622,4.85,1,1,1,4398.742348,1,7661.170431,1,934.8226323,1,1
4686,892.2276,3.99,73459.10325,67099.17711,67179.76583,60472.37978,72907.80991,66417.59632,74355.97982,60438.00551,60093.45924,56644.93347
4687,636.1892,1.89,11367.47912,9598.559278,6250.308578,26745.83994,18256.5475,56201.65427,47734.16719,31916.78351,75225.52974,77769.31101
4688,238.0476,5.39,63988.83561,64896.26475,59439.60556,71851.38907,53825.35219,50864.36036,63071.82977,60420.76354,46875.90022,72086.05029
4689,143.0017,8.53,17852.6345,6453.959678,9674.873957,15236.28002,8029.214662,14432.24755,19107.16588,15284.1401,17618.77817,11560.40214
4690,180.0063,3.41,1,1,1,1,1,1,1,1,1,1
4691,1084.1557,5.49,68850.5622,29813.26818,50930.45222,32809.26424,39543.14398,42111.59363,68094.62605,42953.37849,52971.57381,47380.45966
4692,252.1721,14.08,33073.52734,11770.51274,14400.5605,30064.29008,20904.55824,18896.1895,23994.56645,1,1,26599.25435
4693,565.1023,2.16,26190.81065,48582.165,26873.26671,54467.09814,32520.52671,48226.68867,44974.586,66759.79761,40591.45661,60082.78808
